systemTime,severity,tag,timestamp,x,y,z
2022-08-01T06:35:19.342Z,log,info,1659324919342,sn113800300133,v112,
2022-08-01T06:35:19.343Z,log,calib,1659324919343,calibration_file,"{""Sgyro1"":[0.000305433,0,0,0,0.000305433,0,0,0,0.000305433],""b_gyro1"":[16.5797,-9.97172,-17.9949],""Sacc1"":[0.00118762,5.64332e-08,-4.57147e-06,5.69325e-08,0.00119629,4.88569e-07,-4.60373e-06,4.87702e-07,0.00119301],""b_acc1"":[-35.9963,-11.6585,-1.26108],""Smag1"":[0.000720529,-0.093971,0.00215261,0.097539,0.000290762,0.000428542,-0.00305861,0.00210048,0.0988429],""b_mag1"":[-115.18,341.247,13.1912],""magNormAtCalib"":40785,""alignSensors2eye"":[-0.0312406,0.996624,-0.0759309,0.266801,-0.0648966,-0.961564,-0.963245,-0.0502983,-0.263872],""acc1_noise"":[74.175,77.8454,72.8113],""gyro1_noise"":[2.6021,2.42482,2.69924],""mag1_noise"":[2.4031,2.18142,2.85417],""version"":2}",
2022-08-01T06:35:19.343Z,log,acc,217004089,637,-1018,-8366
2022-08-01T06:35:19.343Z,log,gyro,217004089,-298,-1044,-763
2022-08-01T06:35:19.343Z,log,acc,217023071,469,-1044,-8555
2022-08-01T06:35:19.343Z,log,gyro,217023071,-441,-888,-661
2022-08-01T06:35:19.412Z,log,mag,217023162,136,486,372
2022-08-01T06:35:19.413Z,log,acc,217042053,537,-1038,-8859
2022-08-01T06:35:19.413Z,log,gyro,217042053,-567,-714,-556
2022-08-01T06:35:19.460Z,log,acc,217061035,601,-1123,-8762
2022-08-01T06:35:19.461Z,log,gyro,217061035,-575,-479,-454
2022-08-01T06:35:19.462Z,log,mag,217061126,134,499,373
2022-08-01T06:35:19.462Z,log,acc,217080047,677,-1260,-8597
2022-08-01T06:35:19.462Z,log,gyro,217080047,-475,-208,-417
2022-08-01T06:35:19.462Z,log,acc,217099029,738,-1378,-8360
2022-08-01T06:35:19.462Z,log,gyro,217099029,-338,16,-434
2022-08-01T06:35:19.462Z,log,mag,217099121,138,497,377
2022-08-01T06:35:19.466Z,log,acc,217118011,824,-1322,-8235
2022-08-01T06:35:19.467Z,log,gyro,217118011,-331,131,-597
2022-08-01T06:35:19.595Z,log,acc,217136993,832,-1088,-8209
2022-08-01T06:35:19.596Z,log,gyro,217136993,-428,195,-773
2022-08-01T06:35:19.596Z,log,mag,217137084,138,501,380
2022-08-01T06:35:19.597Z,log,acc,217156005,824,-893,-8115
2022-08-01T06:35:19.597Z,log,gyro,217156005,-459,238,-834
2022-08-01T06:35:19.597Z,log,acc,217174987,835,-740,-8069
2022-08-01T06:35:19.597Z,log,gyro,217174987,-437,265,-843
2022-08-01T06:35:19.597Z,log,mag,217175079,139,502,375
2022-08-01T06:35:19.597Z,log,acc,217193969,886,-550,-8081
2022-08-01T06:35:19.597Z,log,gyro,217193969,-419,282,-864
2022-08-01T06:35:19.597Z,log,acc,217212951,947,-317,-8023
2022-08-01T06:35:19.597Z,log,gyro,217212951,-304,311,-781
2022-08-01T06:35:19.598Z,log,mag,217213043,139,501,373
2022-08-01T06:35:19.642Z,log,acc,217231933,720,13,-8185
2022-08-01T06:35:19.642Z,log,gyro,217231933,-31,371,-580
2022-08-01T06:35:19.642Z,log,acc,217250946,1134,867,-9096
2022-08-01T06:35:19.643Z,log,gyro,217250946,1116,960,-989
2022-08-01T06:35:19.643Z,log,mag,217251037,139,504,375
2022-08-01T06:35:19.643Z,log,acc,217269927,1509,-1711,-6757
2022-08-01T06:35:19.643Z,log,gyro,217269927,2152,1042,-128
2022-08-01T06:35:19.643Z,log,acc,217288909,1230,-723,-7945
2022-08-01T06:35:19.644Z,log,gyro,217288909,-332,16,212
2022-08-01T06:35:19.644Z,log,mag,217289001,136,500,384
2022-08-01T06:35:19.645Z,log,mag_temp,217307891,0.0,,
2022-08-01T06:35:19.645Z,log,acc_temp,217307891,30.3,,
2022-08-01T06:35:19.645Z,log,gyro_temp,217307891,30.3,,
2022-08-01T06:35:19.645Z,log,acc,217307891,1351,-503,-8040
2022-08-01T06:35:19.645Z,log,gyro,217307891,-1088,-333,398
2022-08-01T06:35:19.780Z,log,acc,217326904,1094,-1037,-7905
2022-08-01T06:35:19.781Z,log,gyro,217326904,-1136,-410,605
2022-08-01T06:35:19.782Z,log,mag,217326995,133,502,377
2022-08-01T06:35:19.782Z,log,acc,217345886,1196,-1216,-7367
2022-08-01T06:35:19.782Z,log,gyro,217345886,-1766,-453,171
2022-08-01T06:35:19.782Z,log,acc,217364868,915,220,-8630
2022-08-01T06:35:19.782Z,log,gyro,217364868,-1261,-776,63
2022-08-01T06:35:19.782Z,log,mag,217364959,140,501,374
2022-08-01T06:35:19.782Z,log,acc,217383850,853,-702,-7873
2022-08-01T06:35:19.782Z,log,gyro,217383850,91,-595,444
2022-08-01T06:35:19.782Z,log,acc,217402832,839,-1028,-7718
2022-08-01T06:35:19.782Z,log,gyro,217402832,-14,-776,333
2022-08-01T06:35:19.782Z,log,mag,217402923,147,501,369
2022-08-01T06:35:19.782Z,log,acc,217421844,697,-906,-7753
2022-08-01T06:35:19.782Z,log,gyro,217421844,14,-945,-19
2022-08-01T06:35:19.782Z,log,acc,217440826,696,-527,-7927
2022-08-01T06:35:19.782Z,log,gyro,217440826,-109,-962,-264
2022-08-01T06:35:19.782Z,log,mag,217440917,148,503,374
2022-08-01T06:35:19.782Z,log,acc,217459808,658,-794,-8035
2022-08-01T06:35:19.782Z,log,gyro,217459808,271,-912,-70
2022-08-01T06:35:19.787Z,log,acc,217478790,687,-781,-8305
2022-08-01T06:35:19.788Z,log,gyro,217478790,563,-865,76
2022-08-01T06:35:19.788Z,log,mag,217478881,155,509,363
2022-08-01T06:35:19.835Z,log,acc,217497802,563,-679,-8162
2022-08-01T06:35:19.836Z,log,gyro,217497802,1006,-576,170
2022-08-01T06:35:19.837Z,log,acc,217516784,602,-764,-8468
2022-08-01T06:35:19.837Z,log,gyro,217516784,1185,-290,300
2022-08-01T06:35:19.837Z,log,mag,217516876,145,511,375
2022-08-01T06:35:19.837Z,log,acc,217535766,638,-980,-8759
2022-08-01T06:35:19.838Z,log,gyro,217535766,1096,23,234
2022-08-01T06:35:19.847Z,log,acc,217554748,511,-712,-8687
2022-08-01T06:35:19.847Z,log,gyro,217554748,728,395,77
2022-08-01T06:35:19.847Z,log,mag,217554840,141,513,369
2022-08-01T06:35:19.909Z,log,acc,217573730,491,-802,-8484
2022-08-01T06:35:19.910Z,log,gyro,217573730,550,638,181
2022-08-01T06:35:19.910Z,log,acc,217592742,451,-917,-8246
2022-08-01T06:35:19.910Z,log,gyro,217592742,389,777,399
2022-08-01T06:35:19.910Z,log,mag,217592834,136,507,375
2022-08-01T06:35:19.954Z,log,acc,217611724,463,-767,-8250
2022-08-01T06:35:19.954Z,log,gyro,217611724,-61,1049,381
2022-08-01T06:35:19.954Z,log,acc,217630706,656,-944,-8441
2022-08-01T06:35:19.955Z,log,gyro,217630706,-423,1376,273
2022-08-01T06:35:19.955Z,log,mag,217630798,139,506,373
2022-08-01T06:35:19.960Z,log,acc,217649688,726,-894,-8248
2022-08-01T06:35:19.961Z,log,gyro,217649688,-616,1618,387
2022-08-01T06:35:19.966Z,log,acc,217668853,911,-850,-8110
2022-08-01T06:35:19.966Z,log,gyro,217668853,-1148,1433,531
2022-08-01T06:35:19.966Z,log,mag,217668945,141,497,381
2022-08-01T06:35:20.044Z,log,acc,217687683,919,-1014,-7970
2022-08-01T06:35:20.044Z,log,gyro,217687683,-1347,1031,707
2022-08-01T06:35:20.045Z,log,acc,217706665,903,-1306,-7966
2022-08-01T06:35:20.046Z,log,gyro,217706665,-1218,1025,539
2022-08-01T06:35:20.046Z,log,mag,217706756,149,492,375
2022-08-01T06:35:20.046Z,log,acc,217725647,1137,-1145,-8037
2022-08-01T06:35:20.046Z,log,gyro,217725647,-1065,1293,132
2022-08-01T06:35:20.073Z,log,acc,217744628,1239,-986,-8022
2022-08-01T06:35:20.074Z,log,gyro,217744628,-723,1060,70
2022-08-01T06:35:20.074Z,log,mag,217744720,152,485,377
2022-08-01T06:35:20.080Z,log,acc,217763641,1267,-940,-7973
2022-08-01T06:35:20.080Z,log,gyro,217763641,-328,484,90
2022-08-01T06:35:20.086Z,log,acc,217782623,1176,-831,-7957
