idx,path,name,type,out_shape,B,C,T,kernel,stride,activation,params,trainable,notes
1,lstm,lstm,LSTM,1x12x128,1,12,128,-,-,,201728,True,"hidden=128, layers=2, bidir=False"
2,head,head,Linear,1x3,1,3,,-,-,,387,True,"in=128, out=3"
(total),,,,,,,,-,-,,202115,True,
